Id,Name,Position,Year,School,RASScore,AllTimeScore
1405,Rodney Anderson,RB,2019,Oklahoma,0,0
1406,Mike Weber,RB,2019,Ohio State,7.02,7.28
1407,Justice Hill,RB,2019,Oklahoma State,9.33,9.32
1408,Benny Snell,RB,2019,Kentucky,3.41,3.75
1409,Travis Homer,RB,2019,Miami,8.34,8.53
1410,Josh Jacobs,RB,2019,Alabama,5.65,5.78
1411,Devin Singletary,RB,2019,Florida Atlantic,1.65,1.82
1412,Trayveon Williams,RB,2019,Texas A&M,4.61,4.83
1413,Damarea Crockett,RB,2019,Missouri,8.02,8.17
1414,Toyous Avery,FS,2019,West Virginia,3.44,3.98
1415,David Montgomery,RB,2019,Iowa State,5.16,5.41
1416,James Williams,RB,2019,Washington State,5.68,5.91
1417,Elijah Holyfield,RB,2019,Georgia,2.48,2.6
1418,Darrell Henderson,RB,2019,Memphis,7.69,8.01
1419,Alex Barnes,RB,2019,Kansas State,9.8,9.79
1420,Miles Sanders,RB,2019,Penn State,9.48,9.5
1421,Alexander Mattison,RB,2019,Boise State,6.82,7.09
1422,Noah Fant,TE,2019,Iowa,9.89,9.9
1423,Alize Mack,TE,2019,Notre Dame,8.5,8.59
1424,Isaac Nauta,TE,2019,Georgia,1.56,1.67
1425,Dax Raymond,TE,2019,Utah State,5.15,5.31
1426,Zach Gentry,TE,2019,Michigan,2.51,2.62
1427,Connor McGovern,OC,2019,Penn State,9.74,9.72
1428,Erik McCoy,OC,2019,Texas A&M,8.97,9.05
1429,Jonah Williams,OT,2019,Alabama,5.46,5.32
1430,Greg Little,OT,2019,Mississippi,3.59,3.52
1431,David Edwards,OT,2019,Wisconsin,4.73,4.67
1432,Jawaan Taylor,OT,2019,Florida,0,0
1433,Andre James,OT,2019,UCLA,3.98,3.89
1434,William Sweet,OT,2019,North Carolina,6.05,5.91
1435,Nate Herbig,OG,2019,Stanford,2.75,3.03
1436,Michael Jordan,OG,2019,Ohio State,7.98,8.07
1437,Cody Ford,OG,2019,Oklahoma,6.32,6.43
1438,Ryan Bates,OG,2019,Penn State,9.56,9.55
1439,Bobby Evans,OG,2019,Oklahoma,7.35,7.42
1440,Nick Bosa,DE,2019,Ohio State,9.44,9.39
1441,Rashan Gary,DE,2019,Michigan,9.95,9.94
1442,Clelin Ferrell,DE,2019,Clemson,0,0
1443,Brian Burns,DE,2019,Florida State,9.9,9.9
1444,Anthony Nelson,DE,2019,Iowa,9.49,9.44
1445,Shareef Miller,DE,2019,Penn State,6.16,6.31
1446,Joe Jackson,DE,2019,Miami,2.48,2.71
1447,Maxx Crosby,DE,2019,Eastern Michigan,9.64,9.6
1448,Darryl Johnson,DE,2019,North Carolina A&T,6.74,6.74
1449,Ed Oliver,DT,2019,Houston,9.88,9.9
1450,Dexter Lawrence,DT,2019,Clemson,9.86,9.86
1451,Jeffery Simmons,DT,2019,Mississippi State,0,0
1452,Dre'Mont Jones,DT,2019,Ohio State,6.13,6.19
1453,Trysten Hill,DT,2019,Central Florida,9.53,9.57
1454,Devin White,LB,2019,Louisiana State,9.32,9.38
1455,Mack Wilson,LB,2019,Alabama,5.24,5.49
1456,Tre Lamar,LB,2019,Clemson,3.79,3.98
1457,Joe Giles-Harris,LB,2019,Duke,3.08,3.48
1458,Jonathan Smith,LB,2019,North Carolina,0,0
1459,David Long Jr.,LB,2019,West Virginia,3.3,3.59
1460,Devin Bush,LB,2019,Michigan,9.32,9.39
1461,Sutton Smith,LB,2019,Northern Illinois,5.58,5.86
1462,Vosean Joseph,LB,2019,Florida,0.2,0.33
1463,Deandre Baker,CB,2019,Georgia,4.53,4.87
1464,Miles Boykin,WR,2019,Notre Dame,9.94,9.95
1465,Julian Love,CB,2019,Notre Dame,7.05,7.13
1466,Trayvon Mullen,CB,2019,Clemson,7.46,7.34
1467,Justin Layne,CB,2019,Michigan State,8.95,9.05
1468,Jamel Dean,CB,2019,Auburn,9.93,9.91
1469,David Long,CB,2019,Michigan,9.19,9.1
1470,JoeJuan Williams,CB,2019,Vanderbilt,8.08,8.19
1471,Malik Gant,FS,2019,Marshall,3.06,3.67
1472,Mike Bell,FS,2019,Fresno State,1.15,1.61
1473,Deionte Thompson,FS,2019,Alabama,0,0
1474,Taylor Rapp,SS,2019,Washington,5.62,5.99
1475,Amani Hooker,SS,2019,Iowa,9.1,9.25
1476,Armon Watts,DT,2019,Arkansas,3.72,3.95
1477,Terance Grady,WR,2019,Eastern Washington,7.48,7.71
1478,Brock Boxen,DT,2019,Akron,0,0
1479,Fredrick Jones,DT,2019,Florida State,1.14,1.36
1480,Quinnen Williams,DT,2019,Alabama,9.84,9.86
1481,Alex Funches,DE,2019,California,2.38,2.53
1482,Aaron Steidl,DT,2019,North Dakota State,2.45,2.7
1483,Titus Davis,LB,2019,Central Florida,1.17,1.53
1484,Jonathan Kongbo,LB,2019,Tennessee,0,0
1485,Nate Harvey,LB,2019,East Carolina,0.8,1.11
1486,Greg Roberts,DE,2019,Baylor,8.84,8.78
1487,Durrant Miles,DE,2019,Boise State,7.66,7.65
1488,Okon Godwin,DE,2019,Appalachian State,0,0
1489,Jamal Davis II,LB,2019,Akron,9.43,9.44
1490,Tyrel Dodson,LB,2019,Texas A&M,6.55,6.77
1491,Quarte Sapp,LB,2019,Tennessee,7.66,7.83
1492,Josiah Tauaefa,LB,2019,UTSA,4.2,4.6
1493,Jeff Allison,LB,2019,Fresno State,1.56,1.9
1494,Bryton Barr,LB,2019,Massachusetts,3.39,3.7
1495,Taris Shenall,SS,2019,Tulane,0.86,1.11
1496,Darius Harris,LB,2019,Middle Tennessee State,4.65,4.89
1497,Chase Christiansen,LB,2019,Utah State,0,0
1498,Gary Johnson,LB,2019,Texas,5.67,5.9
1499,Kielan Whitner,LB,2019,Syracuse,6.35,6.59
1500,Masai Whyte,LB,2019,Western Kentucky,1.86,2.09
1501,Warren Messer,LB,2019,Elon,0.35,0.51
1502,James Nachtigal,LB,2019,Army,0,0
1503,Sean Barton,LB,2019,Stanford,0,0
1504,Ryan Guthrie,LB,2019,Syracuse,7.55,7.76
1505,Shakir Carr,OG,2019,Central Michigan,1.82,2.16
1506,Kendall Sheffield,CB,2019,Ohio State,9.72,9.73
1507,Hamp Cheevers,CB,2019,Boston College,2.91,3.37
1508,Saivion Smith,CB,2019,Alabama,3.24,3.68
1509,Lonnie Johnson,CB,2019,Kentucky,9.39,9.42
1510,Rock Ya-Sin,CB,2019,Temple,6.16,6.35
1511,Jordan Brown,CB,2019,South Dakota State,8.11,8.23
1512,Ka'Dar Hollman,CB,2019,Toledo,9.22,9.21
1513,Josh Miller,CB,2019,Ball State,0,0
1514,Taj-Amir Torres,CB,2019,Boston College,5.55,5.78
1515,Chauncey Gardner-Johnson,FS,2019,Florida,7.88,7.97
1516,Nasir Adderley,FS,2019,Delaware,7.17,7.43
1517,Marquise Blair,SS,2019,Utah,8.32,8.4
1518,Adarius Pickett,SS,2019,UCLA,2.49,2.93
1519,Tyler Hayes,SS,2019,Massachusetts,0,0
1520,Kahzin Daniels,DE,2019,Charlotte,2.87,3.08
1521,Marcus Milton,FS,2019,Bowling Green,4.09,4.49
1522,Vaughnte Dorsey,FS,2019,Texas Tech,0.9,1.35
1523,Roderic Teamer,SS,2019,Tulane,3.62,4.08
1524,Jordan Fogal,FS,2019,Colorado State,4.17,4.86
1525,Gaje Ferguson,SS,2019,Utah State,7.14,7.43
1526,Drell Greene,FS,2019,Western Kentucky,1.57,2
1527,Corrion Ballard,SS,2019,Utah,8.01,8.35
1528,Deontay Wilson,FS,2019,Tennessee Tech,0,0
1529,Anthony Chesley,CB,2019,Coastal Carolina,6.72,6.96
1530,Riley Ridley,WR,2019,Georgia,4.54,4.78
1531,Lo Falemaka,OC,2019,Utah,3.24,3.33
1532,Trey Pipkins,OT,2019,Sioux Falls,8.85,8.71
1533,Derick Roberson,DE,2019,Sam Houston State,6.71,6.7
1534,Markus Jones,DE,2019,Angelo State,6.35,6.4
1535,Shawn Poindexter,WR,2019,Arizona,5.72,6.02
1536,BJ Blunt,LB,2019,McNeese State,0.56,0.76
1537,Jon Duhart,WR,2019,Old Dominion,7.09,7.36
1538,Markus Boyer,OC,2019,Fresno State,1.55,1.57
1539,Mathieu Betts,DE,2019,Laval,7.87,7.88
1540,Olisaemeka Udoh,OT,2019,Elon,8.14,7.94
1541,Chris Johnson,CB,2019,North Alabama,4.76,5.13
1542,Terry Wright,WR,2019,Purdue,5.81,5.93
1543,Jake Bailey,PK,2019,Stanford,0,0
1544,Dennis Daley,OT,2019,South Carolina,3.89,3.85
1545,Wes Hills,RB,2019,Slippery Rock,0,0
1546,Tytus Howard,OT,2019,Alabama State,6.3,6.14
1547,Caleb Butler,DE,2019,North Dakota State,0.8,0.97
1548,Josh Oliver,TE,2019,San Jose State,8.16,8.24
1549,Cole Tracy,PK,2019,Louisiana State,0,0
1550,Trevon Wesco,TE,2019,West Virginia,5.88,5.9
1551,L.J. Collier,DE,2019,Texas Christian,3.21,3.42
1552,John Cominsky,DE,2019,Charleston,9.43,9.36
1553,Ashton Dulin,WR,2019,Malone,8.93,9.03
1554,Dan Godsil,LS,2019,Indiana,9.01,9.05
1555,Penny Hart,WR,2019,Georgia State,1.2,1.27
1556,Jakobi Meyers,WR,2019,North Carolina State,6.34,6.62
1557,Donald Parham,TE,2019,Stetson,6.86,6.93
1558,Tony Pollard,RB,2019,Memphis,7.18,7.4
1559,Austin Seibert,PK,2019,Oklahoma,0,0
1560,Alex Wesley,WR,2019,Northern Colorado,5.89,6
1561,Mitch Wishnowsky,PK,2019,Utah,9.8,9.68
1562,Darwin Thompson,RB,2019,Utah State,8,8.13
1563,J.J. Arcega-Whiteside,WR,2019,Stanford,6.14,6.32
1564,Marquise Brown,WR,2019,Oklahoma,0,0
1565,Antoine Wesley,WR,2019,Texas Tech,3.22,3.57
1566,Jovon Durante,WR,2019,Florida Atlantic,2.02,2.28
1567,Mecole Hardman,WR,2019,Georgia,8.3,8.41
1568,Lil'Jordan Humphrey,WR,2019,Texas,3.44,3.74
1569,Dredrick Snelson,WR,2019,Central Florida,1.98,2.2
1570,Darius Slayton,WR,2019,Auburn,8.91,9.01
1571,Jalen Guyton,WR,2019,North Texas,9.63,9.66
1572,Tyron Johnson,WR,2019,Oklahoma State,5.85,6.05
1573,Dillon Mitchell,WR,2019,Oregon,7.96,8.14
1574,Diontae Johnson,WR,2019,Toledo,4.18,4.46
1575,John Ursua,WR,2019,Hawaii,6.44,6.58
1576,Hakeem Butler,WR,2019,Iowa State,9.47,9.51
1577,Greg Dortch,WR,2019,Wake Forest,3.07,3.28
1578,DJ Montgomery,WR,2019,Austin Peay,8.82,8.88
1579,Nick Easley,WR,2019,Iowa,6.31,6.45
1580,Darnell Holland,RB,2019,Kennesaw State,5.42,5.67
1581,Juwann Bushell-Beatty,OT,2019,Michigan,1.73,1.92
1582,Ben Knox,OG,2019,Colorado State,5.57,5.73
1583,Jervontius Stallings,OG,2019,Kentucky,0,0
1584,Venzell Boulware,OG,2019,Miami,4.07,4.34
1585,Colin Conner,OG,2019,North Dakota State,6.49,6.64
1586,Rob Castaneda,OG,2019,Utah State,3.6,3.92
1587,Terrone Prescod,OG,2019,North Carolina State,0.98,1.22
1588,Sean Christie,OG,2019,Maryland,0,0
1589,P.J. Johnson,DT,2019,Arizona,0.87,1.09
1590,Kevin Givens,DT,2019,Penn State,7.51,7.7
1591,Khalen Saunders,DT,2019,Western Illinois,7.59,7.66
1592,Javier Edwards,DT,2019,Colorado,4.74,4.97
1593,Dajon Emory,DT,2019,Arkansas State,0,0
1594,Kahale Warring,TE,2019,San Diego State,9.4,9.47
