Id,Name,Position,Year,School,RASScore,AllTimeScore
0,Gardner Minshew,QB,2019,Washington State,5.93,5.87
1,Kyle Shurmur,QB,2019,Vanderbilt,4.24,4.19
2,Taylor Cornelius,QB,2019,Oklahoma State,9.74,9.77
3,Dwayne Haskins,QB,2019,Ohio State,3.47,3.37
4,Nico Evans,RB,2019,Wyoming,5.67,5.87
5,Miles Brown,DT,2019,Wofford,1.85,2.12
6,Charles Jones II,TE,2019,Tulane,3.67,3.73
7,Izzy Matthews,RB,2019,Colorado State,3.3,3.59
8,Ryan Fulse,RB,2019,Wagner,4.98,5.14
9,D.J. Knox,RB,2019,Purdue,0.77,0.95
10,Matt Colburn II,RB,2019,Wake Forest,6.65,6.77
11,A.J. Oullette,RB,2019,Ohio,9.18,9.19
12,Tom Kennedy,WR,2019,Bryant,8.5,8.59
13,Jeremy Hickey,OG,2019,Eastern Michigan,4.31,4.59
14,DK Metcalf,WR,2019,Mississippi,9.66,9.68
15,N'Keal Harry,WR,2019,Arizona State,8.44,8.62
16,Kelvin Harmon,WR,2019,North Carolina State,4.88,5.14
17,A.J. Brown,WR,2019,Mississippi,8.59,8.78
18,Anthony Ratliff-Williams,WR,2019,North Carolina,7.08,7.36
19,Jazz Ferguson,WR,2019,Northwestern State,7.32,7.34
20,Kerrith Whyte Jr.,RB,2019,Florida Atlantic,8.57,8.7
21,Jamal Custis,WR,2019,Syracuse,6.47,6.67
22,Matthew Eaton,WR,2019,Iowa State,5.31,5.61
23,RonQuavion Tarver,WR,2019,Utah State,4.77,4.9
24,Andrew Beck,TE,2019,Texas,8.8,8.85
25,Caleb Wilson,TE,2019,UCLA,5.71,5.66
26,Bryson Allen-Williams,LB,2019,South Carolina,0.68,0.99
27,B.J. Autry,OG,2019,Jacksonville State,0,0
28,Christian Miller,LB,2019,Alabama,6.83,7.08
29,Kendall Blanton,TE,2019,Missouri,5.26,5.29
30,Ravian Pierce,TE,2019,Syracuse,4.52,4.56
31,Dereck Boles,DT,2019,Arizona,0,0
32,Donovan Wilson,FS,2019,Texas A&M,6.98,7.52
33,Edwin Alexander,DT,2019,Louisiana State,1.97,2.15
34,Stephen Denmark,CB,2019,Valdosta State,9.35,9.37
35,Wes Sutton,FS,2019,North Arizona,1.8,2.3
36,Dawson Knox,TE,2019,Mississippi,9.25,9.37
37,Iman Marshall,CB,2019,Southern California,5.22,5.52
38,Greedy Williams,CB,2019,Louisiana State,8.5,8.41
39,Irv Smith,TE,2019,Alabama,4.78,4.83
40,Andrew Van Ginkel,DE,2019,Wisconsin,9.26,9.24
41,Jonathan Lockett,CB,2019,Southern California,0.23,0.36
42,Kaden Smith,TE,2019,Stanford,3.82,3.96
43,T.J. Hockenson,TE,2019,Iowa,9.19,9.29
44,Byron Murphy,CB,2019,Washington,6.41,6.62
45,Xavier Crawford,CB,2019,Central Michigan,4.68,4.93
46,Tyler Sigler,FS,2019,Wheaton,7.78,7.92
47,Jachai Polite,DE,2019,Florida,1.74,1.93
48,Kano Dillon,TE,2019,Oregon,8.43,8.55
49,Nick Fitzgerald,QB,2019,Mississippi State,7.57,7.6
50,Nick Watkins,CB,2019,Notre Dame,6.31,6.54
51,Charles Holland,WR,2019,Tiffin,7.18,7.46
52,Alex Fontana,OC,2019,Kansas,6.14,6.11
53,Cole Conrad,OC,2019,Nebraska,5.32,5.23
54,Nick Linder,OC,2019,Indiana,0,0
55,Dakota Tallman,OC,2019,Eastern Michigan,1.93,1.97
56,George Rushing,WR,2019,Buffalo,1.46,1.74
57,Amani Bledsoe,DE,2019,Oklahoma,5.05,5.26
58,Terrence Alexander,CB,2019,Louisiana State,1.29,1.56
59,Tim Harris,CB,2019,Virginia,8.9,8.96
60,Neal Mars,OC,2019,Florida International,0,0
61,Tomarcio Reece,LB,2019,Georgia Southern,4.59,4.76
62,C.J. Fritz,CB,2019,Chattanooga,1.04,1.26
63,Sidney Malauulu,DT,2019,Wyoming,5.28,5.48
64,Renell Wren,DT,2019,Arizona State,9.73,9.77
65,Drew Lock,QB,2019,Missouri,9.37,9.32
66,Sean Bunting,CB,2019,Central Michigan,9.64,9.64
67,Ryan Finley,QB,2019,North Carolina State,7.82,7.94
68,Clayton Thorson,QB,2019,Northwestern,0,0
69,Trace McSorley,QB,2019,Penn State,8.29,8.37
70,Brett Rypien,QB,2019,Boise State,5.74,5.8
71,Justice Hansen,QB,2019,Arkansas State,3,2.95
72,Jake Browning,QB,2019,Washington,5.7,5.72
73,Will Grier,QB,2019,West Virginia,7.19,7.27
74,Tanner Mangum,QB,2019,Brigham Young,3.88,3.92
75,Andrew Ford,QB,2019,Massachusetts,0,0
76,Kyle Kempt,QB,2019,Iowa State,3.94,3.94
77,Malik Rosier,QB,2019,Miami,2.31,2.27
78,Wilton Speight,QB,2019,UCLA,0,0
79,JaJuan Lawson,QB,2019,Rhode Island,6.75,6.76
80,Manny Wilkins,QB,2019,Arizona State,6.25,6.11
81,David Blough,QB,2019,Purdue,2.76,2.77
82,Easton Stick,QB,2019,North Dakota State,9.46,9.49
83,Eric Dungey,QB,2019,Syracuse,7.58,7.66
84,Marcus McMaryion,QB,2019,Fresno State,6.71,6.66
85,Keller Chryst,QB,2019,Tennessee,8.03,8.12
86,Gage Gubrud,QB,2019,Eastern Washington,0,0
87,Jalan McClendon,QB,2019,North Carolina State,8.06,8.19
88,Jacob Park,QB,2019,Iowa State,0,0
89,Lamar Raynard,QB,2019,North Carolina A&T,6.52,6.54
90,Devlin Hodges,QB,2019,Samford,3.4,3.38
91,Ty Gangi,QB,2019,Nevada,0,0
92,Raelon Singleton,WR,2019,Houston,7.97,8.16
93,Brent Stockstill,QB,2019,Middle Tennessee State,2.65,2.52
94,Tyler Wiegers,QB,2019,Eastern Michigan,1.87,1.81
95,Drew Barker,QB,2019,Kentucky,0,0
96,Hayden Moore,QB,2019,Cincinnati,5.01,5.01
97,Riley Neal,QB,2019,Ball State,0,0
98,Dallas Davis,QB,2019,South Alabama,0,0
99,K.J. Carta-Samuels,QB,2019,Colorado State,4.84,4.88
100,Chase Forrest,QB,2019,California,1.89,1.85
101,Gus Ragland,QB,2019,Miami OH,6.06,6.02
102,Taryn Christion,QB,2019,South Dakota State,8.02,8.35
103,Bart Williams,QB,2019,Grand Valley State,1.98,1.99
104,Michael Scarnecchia,QB,2019,South Carolina,2.56,2.57
105,Chayce Crouch,QB,2019,Illinois,4.64,4.59
106,Jake Kolbe,QB,2019,Illinois State,0,0
107,Tyler Harris,QB,2019,Rhode Island,0,0
108,Isaac Harker,QB,2019,Indiana State,5.51,5.5
109,Dalton Banks,QB,2019,Cornell,0,0
110,Christian Chapman,QB,2019,San Diego State,0.28,0.24
111,Jordan Davis,QB,2019,Louisiana,0,0
112,Caleb York,QB,2019,South Carolina State,0,0
113,Cole Garvin,QB,2019,South Alabama,0,0
114,Anthony Lawrence,QB,2019,San Diego,3.35,3.4
115,Bear Fenimore,QB,2019,Saint Francis (PA),0,0
116,Giovanni Rescigno,QB,2019,Rutgers,6.93,6.89
117,Jimmy Walker,QB,2019,Robert Morris,0,0
118,Mathew Barr,QB,2019,Robert Morris,0,0
119,Eli Dunne,QB,2019,Northern Iowa,2.72,2.64
120,Montgomery VanGorder,QB,2019,Notre Dame,0,0
121,Daniel Kubiuk,QB,2019,Northwestern,0,0
122,Peyton Williams,QB,2019,No College,0,0
123,Nick Jeanty,QB,2019,New Mexico State,0,0
124,Trevor Knight,QB,2019,New Hampshire,7.84,8.02
125,David Cornwell,QB,2019,Nevada,0,0
126,Kenney Wooten,LB,2019,Murray State,2.06,2.29
127,Lawson Page,QB,2019,Morehead State,0,0
128,Breck Ruddick,QB,2019,Missouri State,0,0
129,Jordan Taamu,QB,2019,Mississippi,6.68,6.68
130,Billy Bahl,QB,2019,Ashland,1.43,1.34
131,James Tabary,QB,2019,McNeese State,1.8,1.74
132,Ross Comis,QB,2019,Massachusetts,3.19,3.17
133,Alex Thomson,QB,2019,Marshall,0,0
134,Garrett Smith,QB,2019,Louisiana Monroe,0,0
135,Andre Nunez,QB,2019,Louisiana,2.23,2.13
136,Brad Mayes,QB,2019,Lehigh,0.08,0.09
137,George Bollas,QB,2019,Kent State,0,0
138,Michael OConner,QB,2019,British Columbia,6.96,6.91
139,Lenny Williams Jr.,QB,2019,Indiana PA,0,0
140,Brandon Dawkins,QB,2019,Indiana,0,0
141,Christian Holland,LB,2019,Idaho State,3.64,3.96
142,Trevon Cherry,QB,2019,Grambling State,0,0
143,Jordan Powell,CB,2019,Widener,5.83,6.13
144,Chance Stewart,QB,2019,Hillsdale,1,0.97
145,Joshua Simmons,SS,2019,Limestone,6.9,7.16
146,Delmon Williams,QB,2019,Hampton,5.45,5.61
147,Slade Jarman,QB,2019,Fort Valley State,0,0
148,J.J. Cosentino,QB,2019,Florida State,0,0
149,Anthony Pittman,LB,2019,Wayne State,6.8,7.07
150,Luke Del Rio,QB,2019,Florida,0,0
151,D.J. Henderson,CB,2019,Tennessee,2.28,2.54
152,Cole Sears,QB,2019,Arkansas Monticello,6.54,6.71
153,Eystin Salum,QB,2019,Colorado Mesa,5.47,5.48
154,Hasaan Klugh,QB,2019,Charlotte,7.67,7.91
155,Will Marty,QB,2019,Butler,0,0
156,Nicholas Duncan,QB,2019,Brown,0,0
157,Sean White,QB,2019,Auburn,0,0
158,Dallas Sealey,QB,2019,Abilene Christian,0,0
159,Arion Worthman,QB,2019,Air Force,7.16,7.13
160,Chris Laviano,QB,2019,Long Island-Post,2.01,2.02
161,Neven Sussman,QB,2019,Albany,0,0
162,Damien Harris,RB,2019,Alabama,6.37,6.5
163,Bryce Love,RB,2019,Stanford,0,0
164,Myles Gaskin,RB,2019,Washington,5.93,6.19
165,Karan Higdon,RB,2019,Michigan,8.22,8.28
166,Jacques Patrick,RB,2019,Florida State,2.95,3.07
167,Jordan Scarlett,RB,2019,Florida,4.71,4.85
168,Rodney Smith,RB,2019,Minnesota,0,0
169,Jalin Moore,RB,2019,Appalachian State,4.49,4.83
170,Qadree Ollison,RB,2019,Pittsburgh,4.43,4.66
171,Ryquell Armstead,RB,2019,Temple,7.72,7.97
172,Aeris Williams,RB,2019,Mississippi State,0.46,0.69
173,Taiwan Deal,RB,2019,Wisconsin,0,0
174,Jon Hilliman,RB,2019,Rutgers,8.64,8.77
175,LJ Scott,RB,2019,Michigan State,5.99,6.27
176,Mike Warren,RB,2019,Iowa State,6.79,7.01
177,Travon McMillian,RB,2019,Colorado,5.71,5.95
178,Soso Jamabo,RB,2019,UCLA,0,0
179,Jeremy Smith,RB,2019,Louisville,4.46,4.67
180,Patrick Laird,RB,2019,California,8.68,8.79
181,Bruce Anderson,RB,2019,North Dakota State,5.8,6.11
182,Madre London,RB,2019,Tennessee,4.55,4.77
183,Darrin Hall,RB,2019,Pittsburgh,9.5,9.52
184,Terence Williams,RB,2019,Baylor,0,0
185,Lexington Thomas,RB,2019,UNLV,5.65,5.83
186,Jamauri Bogan,RB,2019,Western Michigan,0.74,0.96
187,Dominick Bragalone,FB,2019,Lehigh,9.46,9.51
188,Tony Brooks-James,RB,2019,Oregon,7.2,7.44
189,DAndre Ferby,RB,2019,Western Kentucky,1.38,1.58
190,Marcus Marshall,RB,2019,James Madison,6.86,6.99
191,Marquis Young,RB,2019,Massachusetts,7.55,7.78
192,Chris James,RB,2019,Wisconsin,5.01,5.31
193,Marty Carter,RB,2019,Grand Valley State,0,0
194,Ty Johnson,RB,2019,Maryland,9.74,9.72
195,Squally Canada,RB,2019,Brigham Young,4.06,4.29
196,Mikale Wilbon,RB,2019,Nebraska,3.97,4.21
197,Knite Hatton,WR,2019,Houston,0.52,0.69
198,TaQuon Marshall,RB,2019,Georgia Tech,0.64,0.86
199,Taj McGowan,RB,2019,Central Florida,6.92,7.17
200,Keion Davis,RB,2019,Marshall,2.61,2.8
201,Jeremy Cox,RB,2019,Old Dominion,9.84,9.87
202,Alonzo Smith,RB,2019,Miami OH,0,0
203,Jonathan Harris,DT,2019,Lindenwood,5.6,5.73
204,Elijah Ibitokun-Hanks,RB,2019,Albany,0,0
205,Devine Ozigbo,RB,2019,Nebraska,8.09,8.25
206,Dontavian Lee,RB,2019,Mississippi State,0,0
207,Dontae Strickland,RB,2019,Syracuse,1.47,1.68
208,Clinton Lynch,RB,2019,Georgia Tech,2.19,2.43
209,Clifton Duck,CB,2019,Appalachian State,2.01,2.25
210,Tyler Bell,RB,2019,Wake Forest,0,0
211,Jay Liggins,CB,2019,Dickinson State,4.25,4.6
212,Marquez Tucker,OG,2019,Southern Utah,6.46,6.58
213,Khalil Lewis,RB,2019,Gardner-Webb,0,0
214,Reggie Gallaspy II,RB,2019,North Carolina State,2.66,2.85
215,Warren Wand,RB,2019,Arkansas State,2.19,2.3
216,Nick Brossette,RB,2019,Louisiana State,2.92,3.15
217,Qua Searcy,RB,2019,Georgia Tech,5.74,5.94
218,Braeden West,RB,2019,Southern Methodist,0.65,0.85
219,Jordan Ellis,RB,2019,Virginia,2.46,2.7
220,Josh Crawford,RB,2019,Vanderbilt,0,0
221,Alex Rodriguez,RB,2019,Indiana,0,0
222,Jalen Rhodes,RB,2019,UTSA,1.73,1.89
223,Wesley Fields,RB,2019,Georgia Southern,3.74,4.01
224,Mark Allen,RB,2019,Penn State,0,0
225,Marcelias Sutton,RB,2019,Oklahoma,0,0
226,Lance Dunn,RB,2019,North Dakota State,1.42,1.61
227,Kiante Goudeau,CB,2019,Minot State,5.33,5.47
228,Dexter Williams,RB,2019,Notre Dame,8.13,8.29
229,Damian Nicholson,RB,2019,Northwood,0,0
230,Jake Mayon,RB,2019,Northern Michigan,3.72,3.85
231,Dorrel McClain,RB,2019,North Carolina Central,0,0
232,Marquell Cartwright,RB,2019,North Carolina A&T,0.65,0.88
233,Damon Cox,RB,2019,North Alabama,0.81,1.02
234,Tyrone Owens,RB,2019,New Mexico,3.54,3.8
235,Blake Wright,RB,2019,Nevada,0,0
236,Jeremy Calhoun,RB,2019,Montana,0,0
237,D.K. Buford,RB,2019,Mississippi,0,0
238,Justin Hardy,RB,2019,Miles,0,0
239,Kenny Young,RB,2019,Miami OH,5.24,5.42
240,Trayone Gray,RB,2019,Miami,7.91,7.98
241,Thomas Koufie,RB,2019,Louisiana Monroe,0,0
242,Derrick Gore,RB,2019,Louisiana Monroe,4.61,4.93
243,Malik Pierre,RB,2019,Long Island-Post,0,0
244,Sihiem King,RB,2019,Kentucky,0,0
245,Tito Odenigbo,DT,2019,Miami,3.49,3.74
246,Justin Silmon,RB,2019,Kansas State,1.29,1.55
247,KeyShaun Simmons,DT,2019,Kansas,0.03,0.04
248,Cardon Johnson,RB,2019,James Madison,3.1,3.39
249,Jamal Adjamah,RB,2019,Jacksonville,0,0
250,Joe Reverman,RB,2019,Hillsdale,0,0
251,Noah Reimers,RB,2019,Harvard,0,0
252,George Moreira,RB,2019,Illinois State,0,0
253,Julian Hylton,RB,2019,Illinois,9.28,9.34
254,Anthony Jones,RB,2019,Florida International,0,0
255,Malcolm Summers,RB,2019,Elon,0,0
256,Chris Walker,RB,2019,Cornell,0,0
257,Miles Smith,RB,2019,Dartmouth,0,0
258,Thomas Jefferson,RB,2019,Delaware,3.25,3.48
259,Nicodem Pierre,RB,2019,Duke,0,0
260,Larry Williams,OG,2019,Oklahoma State,7.47,7.51
261,Derrell Scott,RB,2019,East Carolina,0,0
262,Ethan Thomas,RB,2019,Eastern Kentucky,0,0
263,Donnie Lewis Jr.,CB,2019,Tulane,0,0
264,Vaughn Fulton,OG,2019,Temple,0.72,0.92
265,Armand Shyne,RB,2019,Utah,0,0
266,Bolu Olorunfunmi,RB,2019,UCLA,3.01,3.2
267,Ladarius Galloway,RB,2019,Tennessee-Martin,0,0
268,Elijah Rodriguez,OG,2019,Texas,0,0
269,Demarcus Felton,RB,2019,Texas Tech,3.24,3.5
270,Loren Easly,RB,2019,Stephen F. Austin,0,0
271,Austin Cutting,LS,2019,Air Force,6.06,6.53
272,Aaron Forbes,RB,2019,Villanova,0.72,1
273,Steven Peoples,RB,2019,Virginia Tech,2.2,2.41
274,Jomon Dotson,RB,2019,Washington,8.46,8.48
275,Keith Harrington,RB,2019,Washington State,3.42,3.68
276,Devontae Jackson,RB,2019,West Georgia,6.31,6.45
277,Steve McShane,RB,2019,Western Illinois,2.78,2.82
278,Marquis Terry,RB,2019,Southeast Missouri,0.17,0.24
279,Isaiah Robinson,RB,2019,Wake Forest,0,0
280,Kerrion Moore,RB,2019,Winston-Salem,1.35,1.55
281,Lennox McAfee,RB,2019,Wofford,0,0
282,Charlie Volker,RB,2019,Princeton,9.77,9.78
283,Justin Green,RB,2019,Saint Francis (IN),0.69,0.92
284,Marcus Bagley,RB,2019,Saint Francis (PA),0,0
285,Michael Fredrick,RB,2019,South Dakota,0.18,0.24
286,Isaac Wallace,RB,2019,South Dakota State,0,0
287,Cameron Sanders,RB,2019,Southeast Missouri,3.85,3.95
288,Julius Maracalin,RB,2019,Southeast Louisiana,0,0
289,AcaCedric Ware,RB,2019,Southern California,2.67,2.93
290,Daquan Isom,RB,2019,Southern Illinois,0,0
291,Winston Dimel,FB,2019,Texas-El Paso,4.65,5.04
292,DAngelo Ross,CB,2019,New Mexico,5.98,6.17
293,Chandler Cox,FB,2019,Auburn,3.8,4.13
294,BryKiethon Mouton,FB,2019,Louisiana State,0,0
295,Britton Abbott,FB,2019,Oklahoma State,6.23,6.8
296,Reuben Peters,FB,2019,Southern California,3.67,3.91
297,Jonathan Vickers,FB,2019,Florida State,3.87,4.19
298,Cardell Best,DE,2019,Central Arkansas,4.54,4.84
299,Sam Seonbuchner,FB,2019,Iowa State,1.8,2.23
300,K.C. Crosby,FB,2019,South Carolina,4.67,5.08
301,Alec Ingold,FB,2019,Wisconsin,4.14,4.55
302,Ray Hudson,FB,2019,California,0,0
303,Gabe Hill,FB,2019,Troy,0.1,0.12
304,Andy Davidson,FB,2019,Army,0,0
305,Garrett Williams,FB,2019,Clemson,0,0
306,Newman Williams,FB,2019,Akron,0,0
307,Eric Jackson,LB,2019,Central Arkansas,8.27,8.36
308,Andre Stoddard,FB,2019,Wofford,0,0
309,Khari Blasingame,FB,2019,Vanderbilt,9.73,9.72
310,Rob Ritrovato,FB,2019,Temple,3.65,4.05
311,Maaseiah Francis,FB,2019,South Alabama,0,0
312,John Lovett,QB,2019,Princeton,9.75,9.76
313,Jonathant Istache,CB,2019,Duquesne,2.04,2.31
314,Carson Meier,FB,2019,Oklahoma,5.18,5.36
315,David Ducre,FB,2019,Louisiana State,4.21,4.6
316,Quanta Moore,FB,2019,Louisiana Tech,0,0
317,Spencer Schnell,WR,2019,Illinois State,5.74,5.84
318,Quinn Skillin,PK,2019,Georgia Tech,8.64,8.61
319,Emiere Scaife,FB,2019,Georgia State,0,0
320,Colton Plante,FB,2019,Florida State,0,0
321,Joe Protheroe,FB,2019,Cal Poly,3.75,4.09
322,Brayden El-Bakri,FB,2019,Brigham Young,4.6,4.88
323,Brandon Moore,WR,2019,Benedictine,0.74,0.87
324,Ronnie Clark,FB,2019,Alabama,0.12,0.16
325,Tyler Petite,TE,2019,Southern California,3.56,3.53
326,C.J. Conrad,TE,2019,Kentucky,5.97,6.02
327,Tommy Sweeney,TE,2019,Boston College,5.9,5.93
328,Brandon Fritts,TE,2019,North Carolina,0,0
329,Matt Sokol,TE,2019,Michigan State,4.82,4.96
330,Micky Crum,TE,2019,Louisville,2.13,2.19
331,Drew Sample,TE,2019,Washington,8.99,9.03
332,Alex Weber,WR,2019,South Florida,1.17,1.4
333,Milan Richard,TE,2019,Clemson,1.01,1.12
334,Zander Neuville,TE,2019,Wisconsin,0,0
335,Nic Weishar,TE,2019,Notre Dame,0.77,0.83
336,Hale Hentges,TE,2019,Alabama,1.42,1.53
337,Jackson Harris,TE,2019,Georgia,8.77,8.82
338,Nate Becker,TE,2019,Miami OH,0,0
339,Jalen Harris,TE,2019,Auburn,0,0
340,James Gardner,TE,2019,Miami OH,4.43,4.41
341,Daniel Helm,TE,2019,Duke,5.75,5.85
342,Chris Durkin,TE,2019,Virginia Tech,0,0
343,Evan Butts,TE,2019,Virginia,0.5,0.6
344,Justin Johnson,TE,2019,Mississippi State,7.13,7.19
345,Dylan Keeney,TE,2019,Colorado,0,0
346,Tony Lashley,LB,2019,Boise State,3.33,3.73
347,Cole Herdman,TE,2019,Purdue,2.39,2.42
348,Avery Edwards,TE,2019,Maryland,0,0
349,Romello Brooker,TE,2019,Houston,4.01,4.14
350,Chris Minter,TE,2019,Tulsa,3.3,3.38
351,C.J. Moore,FS,2019,Mississippi,6.3,6.74
352,Garrett Gray,TE,2019,Texas,0,0
353,Nick Natour,OG,2019,Southern Methodist,0.55,0.74
354,Jacob August,TE,2019,South Carolina,0,0
355,Noah Togiai,TE,2019,Oregon State,0,0
356,Keenen Brown,TE,2019,Texas State,3.9,4.03
357,Connor Brown,TE,2019,Ohio,0,0
358,Jackson Solbeck,TE,2019,New Mexico State,0,0
359,Brandon Scott,TE,2019,Nevada,0,0
360,Aaron Hamaker,TE,2019,Mississippi State,0,0
361,Sam Walker,TE,2019,Mercer,0,0
362,Foster Moreau,TE,2019,Louisiana State,9.47,9.5
363,Jacory Washington,TE,2019,Louisiana State,1.57,1.61
364,Cody McGuire,TE,2019,Louisiana Monroe,0,0
365,Matt Barnes,TE,2019,Louisiana,0.08,0.18
366,Cole Anderson,TE,2019,Iowa State,0,0
367,Dakota Torres,TE,2019,Hawaii,1.69,1.8
368,Joel Dullary,SS,2019,Nicholls State,3.97,4.45
369,Delvon Hardaway,WR,2019,Fresno State,4.22,4.48
370,Javien Hamilton,CB,2019,Mississippi,6.94,7.2
371,Taelin Webb,CB,2019,Southern Utah,3.81,4.15
372,Moroni Laulu-Pututau,TE,2019,Brigham Young,0,0
373,Xavier Turner,RB,2019,Tarleton State,7.95,8.13
374,Chase Blakley,TE,2019,Boise State,0,0
375,Mavin Saunders,TE,2019,Kansas,2.76,2.69
376,Brandon Hitner,DT,2019,Villanova,7.04,7.22
377,Deebo Samuel,WR,2019,South Carolina,7.91,8.11
378,Parris Campbell,WR,2019,Ohio State,9.76,9.78
379,David Sills V,WR,2019,West Virginia,7.27,7.57
380,Stanley Morgan Jr.,WR,2019,Nebraska,8.62,8.75
381,Terry Godwin,WR,2019,Georgia,5.26,5.47
382,Anthony Johnson,WR,2019,Buffalo,7.01,7.18
383,Daniel Walsh,WR,2019,Texas Christian,3.85,4.08
384,Gary Jennings,WR,2019,West Virginia,9.04,9.1
385,Jaylen Smith,WR,2019,Louisville,6.39,6.48
386,Cody Thompson,WR,2019,Toledo,8.45,8.57
387,Felton Davis III,WR,2019,Michigan State,0,0
388,Trenton Irwin,WR,2019,Stanford,0,0
389,Johnnie Dixon,WR,2019,Ohio State,6.22,6.38
390,Hunter Renfrow,WR,2019,Clemson,2.91,3.15
391,Keelan Doss,WR,2019,Cal-Davis,7.74,7.78
392,DaMarkus Lodge,WR,2019,Mississippi,3.58,3.83
393,Preston Williams,WR,2019,Colorado State,2.71,3.07
394,Tyre Brady,WR,2019,Marshall,2.74,3
395,Emmanuel Butler,WR,2019,Northern Arizona,3.75,3.95
396,Olamide Zaccheaus,WR,2019,Virginia,6.16,6.38
397,Nyqwan Murray,WR,2019,Florida State,0.95,1.16
398,Tristan Payton,WR,2019,Central Florida,3.29,3.6
399,Chico McClatcher,WR,2019,Washington,0,0
400,Davion Davis,WR,2019,Sam Houston State,3.15,3.45
401,Jalen Harvey,WR,2019,Arizona State,3.75,4.06
402,Ventell Bryant,WR,2019,Temple,5.49,5.74
403,Grant Perry,WR,2019,Michigan,0,0
404,Kamron Lewis,WR,2019,Saint Francis (PA),3.84,4.1
405,Trevion Thompson,WR,2019,Clemson,7.92,8.09
406,Steven Montac,FS,2019,South Carolina,0.17,0.33
407,KeeSean Johnson,WR,2019,Fresno State,3.18,3.43
408,Damion Jeanpiere Jr.,WR,2019,Nicholls State,7.57,7.69
409,Trevon Brown,WR,2019,East Carolina,0.98,1.1
410,JonVea Johnson,WR,2019,Toledo,8.77,8.81
411,Juwann Winfree,WR,2019,Colorado,7.14,7.45
412,Neil OConnor,WR,2019,New Hampshire,6.85,7.07
413,Flynn Nagel,WR,2019,Northwestern,1.17,1.42
414,Detric Bing-Dukes,LB,2019,Mississippi,1.17,1.48
415,T.J. Rahming,WR,2019,Duke,2.22,2.35
416,Byron Glass,OC,2019,Austin Peay,7.88,7.82
417,Luke Timian,WR,2019,Indiana,4.04,4.34
418,Tyraiq Beals,WR,2019,Connecticut,7.91,8.06
419,DeAndre Thompkins,WR,2019,Penn State,7.76,8
420,Ryan Davis,WR,2019,Auburn,3.17,3.54
421,Brayden Lenius,WR,2019,Washington,0,0
422,Andy Isabella,WR,2019,Massachusetts,7.26,7.47
423,Cortez Lewis,WR,2019,Wake Forest,0,0
424,Vic Wharton III,WR,2019,California,0.32,0.51
425,C.J. Sanders,WR,2019,Notre Dame,0,0
426,Teddy Veal,WR,2019,Louisiana Tech,2.78,3.15
427,Chris Gaynor,OG,2019,Texas Christian,2.08,2.43
428,Justin Holmes,WR,2019,San Jose State,1.46,1.56
429,Chris Taylor,WR,2019,Duke,0,0
430,Chris Platt,WR,2019,Baylor,0,0
431,Kelvin McKnight,WR,2019,Samford,2.64,2.91
432,Isaiah Harper,WR,2019,Old Dominion,5.16,5.34
433,Jesse Jackson,WR,2019,Mississippi State,2.4,2.66
434,Terren Encalade,WR,2019,Tulane,1.87,2.11
435,Jalen Greene,WR,2019,Southern California,4.52,4.79
436,Jamarius Way,WR,2019,South Alabama,2.28,2.41
437,Steven Sims,WR,2019,Kansas,1.35,1.55
438,Kahlil Lewis,WR,2019,Cincinnati,4.34,4.7
439,A.J. Richardson,WR,2019,Boise State,2.42,2.68
440,Marcus Green,WR,2019,Louisiana Monroe,7.22,7.48
441,Jeff Smith,WR,2019,Boston College,9.54,9.58
442,Brad Stewart,WR,2019,Georgia Tech,3.82,4.11
443,Deondre Douglas,WR,2019,Troy,5.6,5.67
444,Papi White,WR,2019,Ohio,6.72,6.91
445,Cole Sterns,CB,2019,Southern Methodist,3.39,3.86
446,Tyron Roberts,DT,2019,Winston-Salem,3.29,3.54
447,Justin Hobbs,WR,2019,Tulsa,7.34,7.57
448,Dylan Collie,WR,2019,Brigham Young,2.73,3.01
449,Michael Walker,WR,2019,Boston College,8.34,8.52
450,Scott Miller,WR,2019,Bowling Green,7.76,7.84
451,Aaron Blockmon,WR,2019,Campbell,2.52,2.87
452,Floyd Allen,WR,2019,Mississippi,5.65,5.89
453,Jeremiah Booker,WR,2019,Kansas,6.41,6.7
454,Jordan Silva,DE,2019,Kent State,2.84,3.05
455,Trey Brock,WR,2019,Hillsdale,2.87,2.97
456,Maurice Trowell,WR,2019,North Carolina State,1.9,2.15
457,Juwuan Brown,DE,2019,South Florida,1.33,1.54
458,Devante Peete,WR,2019,Louisville,0,0
459,Kam McKnight,WR,2019,Louisiana Tech,1.61,1.72
460,Justin Sumpter,WR,2019,Kennesaw State,6.37,6.63
461,Tyre McCants,FB,2019,South Florida,5.13,5.34
462,Austin Walter,WR,2019,Rice,3.08,3.39
463,Tyler Wilkins,WR,2019,Richmond,3.7,3.94
464,Christian Pearson,WR,2019,Pennsylvania,0,0
465,DaShawn Davis,WR,2019,Presbyterian,1.83,1.96
466,Jesper Horsted,TE,2019,Princeton,4.8,4.71
467,Travis Fulgham,WR,2019,Old Dominion,8.01,8.28
468,Alex Brown,CB,2019,South Carolina State,6.7,6.93
469,Timmy Hernandez,WR,2019,Oregon State,3.56,3.85
470,Terry McLaurin,WR,2019,Ohio State,9.56,9.59
471,Myles Tease,WR,2019,Oklahoma,2.36,2.52
472,Chuck Wade Jr.,WR,2019,Wake Forest,2.33,2.53
