Id,Player,Position,Year,School,RAS Score,All Time Score
0,Name,Pos,Year,College,RAS,AllTime
1,Adrian White,SS,1987,Florida,0,0
2,Al Smith,LB,1987,Utah State,6.45,4.55
3,Albert Bell,WR,1987,Alabama,0.26,0.49
4,Albert Reese,TE,1987,Southern Methodist,2.35,1.54
5,Alex Gordon,LB,1987,Cincinnati,1.94,2.66
6,Alfred Jenkins,RB,1987,Arizona,6.09,2.74
7,Alonzo Highsmith,FB,1987,Miami,0,0
8,Alonzo Williams,RB,1987,Mesa,0,0
9,Alvin Blount,WR,1987,Eastern Kentucky,7.37,4.74
10,Anthony Anderson,CB,1987,Grambling State,1.05,1.64
11,Archie Harris,OT,1987,William & Mary,7.89,7.78
12,Arthur Wells,TE,1987,Grambling State,0.59,1.04
13,Ben Tamburello,OC,1987,Auburn,5,6.94
14,Bill Berthusen,DT,1987,Iowa State,0,0
15,Bill Ransdell,QB,1987,Kentucky,4.62,1.9
16,Bill Smith,PK,1987,Mississippi,0,0
17,Bo Jackson,RB,1987,Auburn,0,0
18,Bob Ontko,LB,1987,Penn State,4.52,4.32
19,Bob Perryman,FB,1987,Michigan,6,2.25
20,Bob Riley,OT,1987,Indiana,8.95,5.22
21,Bob White,LB,1987,Penn State,0,0
22,Bobby Morse,RB,1987,Michigan State,4.78,2.15
23,Bobby Taylor,SS,1987,Notre Dame,0,0
24,Bobby White,DT,1987,Penn State,7.14,6.68
25,Brent Fullwood,RB,1987,Auburn,0,0
26,Brent Pease,QB,1987,Montana,0,0
27,Brian Bosworth,LB,1987,Oklahoma,0,0
28,Brian Davis,CB,1987,Nebraska,9.47,7.29
29,Brian Siverling,TE,1987,Penn State,1.76,1.6
30,Brian Williams,OT,1987,Central Michigan,1.58,0.42
31,Bruce Armstrong,OT,1987,Louisville,9.47,5.09
32,Bruce Hill,WR,1987,Arizona State,5,4.04
33,Bruce Holmes,LB,1987,Minnesota,0.65,0.95
34,Bruce Mesner,DT,1987,Maryland,0,0
35,Bruce Plummer,SS,1987,Mississippi State,10,6.54
36,Bruce Wilkerson,OT,1987,Tennessee,0,0
37,Byron Evans,LB,1987,Arizona,4.19,3.19
38,Calvin Nicholas,WR,1987,Grambling State,6.32,4.26
39,Carl Woods,RB,1987,Vanderbilt,2.61,2.13
40,Carlos Reveiz,PK,1987,Tennessee,0,0
41,Chad Stark,RB,1987,North Dakota State,0,0
42,Charles Buchanan,DE,1987,Tennessee State,0,0
43,Charles Faucette,LB,1987,Maryland,3.55,2.93
44,Charles Glaze,SS,1987,South Carolina State,5,4.35
45,Charles Lockett,WR,1987,Long Beach State,5.26,3.4
46,Charles Wright,CB,1987,Tulsa,0,0
47,Chris Conlin,OT,1987,Penn State,3.16,1.91
48,Chris Gambol,OT,1987,Iowa,10,6.68
49,Chris Goode,CB,1987,Alabama,2.63,2.85
50,Chris Kelley,TE,1987,Akron,4.12,1.95
51,Chris McLemore,RB,1987,Colorado,0,0
52,Chris Miller,QB,1987,Oregon,7.69,7.01
53,Chris Pike,DT,1987,Tulsa,0,0
54,Chris Spachman,DE,1987,Nebraska,3.57,2.11
55,Chris Thatcher,OG,1987,Lafayette,0,0
56,Christian Okoye,RB,1987,Azusa Pacific,0,0
57,Chuck Faucette,LB,1987,Maryland,0,0
58,Chuckie Miller,CB,1987,UCLA,0,0
59,Clarence Vaughn,CB,1987,Northern Illinois,0,0
60,Cliff Hicks,CB,1987,Oregon,5.26,3.54
61,Cody Carlson,QB,1987,Baylor,6.92,5.75
62,Colin Scotts,DE,1987,Hawaii,9.29,5.37
63,Cornelius Bennett,LB,1987,Alabama,0,0
64,Craig Raddatz,LB,1987,Wisconsin,0,0
65,Craig Richardson,WR,1987,Eastern Washington,7.89,4.73
66,Cris Carter,WR,1987,Ohio State,0,0
67,Curt Jarvis,DT,1987,Alabama,0.71,1.56
68,Curtis Duncan,WR,1987,Northwestern,6.84,3.36
69,Curtis Taliaferro,LB,1987,Virginia Tech,0,0
70,D.J. Dozier,RB,1987,Penn State,0,0
71,Dale Jones,LB,1987,Tennessee,0.32,0.69
72,Dan Morgan,OG,1987,Penn State,6.92,3.86
73,Dan Saleaumua,DT,1987,Arizona State,0,0
74,Dan Sileo,DT,1987,Miami,0,0
75,Dana Wright,RB,1987,Findlay,0,0
76,Danny Lockett,LB,1987,Arizona,6.77,4.97
77,Danny Noonan,DT,1987,Nebraska,10,9.68
78,Danny Villa,OT,1987,Arizona State,3.68,2.02
79,Darryl Holmes,SS,1987,Fort Valley State,3.33,2.25
80,Darryl Oliver,RB,1987,Miami,2.17,1.1
81,Dave Croston,OT,1987,Iowa,2.11,0.66
82,Dave Walter,QB,1987,Michigan Tech,0,0
83,Dave Wyman,LB,1987,Stanford,8.06,6
84,David Adams,RB,1987,Arizona,0,0
85,David Alexander,OC,1987,Tulsa,8.33,7.63
86,David Brandon,LB,1987,Memphis,0.97,1.7
87,David Dudley,LB,1987,Arkansas,3.87,3.79
88,David Grayson,LB,1987,Fresno State,0,0
89,David Mccluskey,FB,1987,Georgia,1,1.58
90,David Smith,LB,1987,Northern Arizona,0,0
91,David Wyman,LB,1987,Stanford,0,0
92,Delton Hall,CB,1987,Clemson,4.21,3.05
93,Dennis Gibson,LB,1987,Iowa State,0,0
94,Derek Tennell,TE,1987,UCLA,8.82,5.19
95,Derrick Beasley,SS,1987,Winston-Salem,0,0
96,Dick Chapura,DT,1987,Missouri,0,0
97,Don Graham,LB,1987,Penn State,6.13,4.4
98,Don Majkowski,QB,1987,Virginia,8.46,7.25
99,Don Smith,RB,1987,Mississippi State,6.96,3.38
100,Donald Evans,DT,1987,Winston-Salem,9.29,9.08
101,Doug Bartlett,LB,1987,Northern Illinois,9.68,8.93
102,Doug Dubose,RB,1987,Nebraska,0,0
103,Doug Hudson,QB,1987,Nicholls State,3.85,1.77
104,Doug Riesenberg,OT,1987,California,6.84,5.64
105,Ed Simmons,OT,1987,Eastern Washington,4.74,2.74
106,Eddie Hunter,RB,1987,Virginia Tech,0,0
107,Edwin Simmons,RB,1987,Texas,10,7.87
108,Elbert Shelley,SS,1987,Arkansas State,0,0
109,Elgin Davis,RB,1987,Central Florida,0,0
110,Elton Slater,CB,1987,Southwestern Louisiana,2.11,2.07
111,Eric Jeffries,CB,1987,Texas,0,0
112,Eric Thomas,CB,1987,Tulane,8.42,6.36
113,Everett Gay,WR,1987,Texas,7.11,6.03
114,Frank Winters,OC,1987,Western Illinois,3.33,3.92
115,Frankie Neal,WR,1987,Fort Hays State,8.95,6.82
116,Fred Lane,WR,1987,Georgia,1.05,1.25
117,Fred Stokes,DE,1987,Georgia Southern,0,0
118,Freddie Robinson,CB,1987,Alabama,0,0
119,Garland Rivers,CB,1987,Michigan,0,0
120,Gary Lee,WR,1987,Georgia Tech,5.53,2.97
121,Gary Moss,CB,1987,Georgia,0,0
122,Gene Atkins,FS,1987,Florida A&M,10,3.63
123,Gene Taylor,WR,1987,Fresno State,7.63,5.29
124,George Swarn,RB,1987,Miami,8.26,6.14
125,Gerald Bayless,TE,1987,Bowling Green,4.71,1.89
126,Gerald Nichols,DT,1987,Florida State,6.43,6.09
127,Gerald White,FB,1987,Michigan,0,0
128,Greg Davis,PK,1987,The Citadel,0,0
129,Greg Horne,PK,1987,Arkansas,0,0
130,Greg Lloyd,LB,1987,Fort Valley State,0,0
131,Greg Richardson,WR,1987,Alabama,3.16,2.81
132,Gregg Harris,OG,1987,Wake Forest,0,0
133,Gregg Rakoczy,OC,1987,Miami,1.67,3.18
134,Hardy Nickerson,LB,1987,California,2.26,3.02
135,Harris Barton,OC,1987,North Carolina,10,9.1
136,Harry Swayne,OT,1987,Rutgers,0,0
137,Haywood Jeffires,WR,1987,North Carolina State,0,0
138,Henry Rolling,LB,1987,UNLV,8.71,7.51
139,Henry Thomas,DT,1987,Louisiana State,4.29,3.67
140,Howard Ballard,OT,1987,Alabama A&M,0,0
141,Ilia Jarostchuk,LB,1987,New Hampshire,7.74,5.13
142,Ira Valentine,RB,1987,Texas A&M,0,0
143,James Brim,WR,1987,Wake Forest,8.42,4.81
144,James Evans,RB,1987,Southern,0,0
145,James Hansen,OT,1987,Utah,8.42,6.66
146,Jamie Holland,WR,1987,Ohio State,0,0
147,Jamie Mueller,FB,1987,Benedictine,10,8
148,Jason Buck,DE,1987,Brigham Young,0,0
149,Jason Stargel,WR,1987,Cincinnati,3.42,2.35
150,Jeff Bregel,OG,1987,Southern California,5.38,5.02
151,Jeff Drost,DT,1987,Iowa,0,0
152,Jeff Jaeger,PK,1987,Washington,0,0
153,Jeff Modesitt,TE,1987,Delaware,3.53,1.78
154,Jeff Tiefenthaler,WR,1987,South Dakota State,0.53,0.84
155,Jeff Van Raaphorst,QB,1987,Arizona State,5.38,2.75
156,Jeff Ward,PK,1987,Texas,0,0
157,Jeff Zimmerman,OG,1987,Florida,4.62,5.28
158,Jerome Brown,DT,1987,Miami,7.86,6.79
159,Jerry Ball,DT,1987,Southern Methodist,1.43,1.88
160,Jerry Reese,TE,1987,Illinois,2.94,1.56
161,Jim Ellis,LB,1987,Boise State,0,0
162,Jim Harbaugh,QB,1987,Michigan,0,0
163,Jim Karsatos,QB,1987,Ohio State,0,0
164,Jim Reynosa,DE,1987,Arizona State,0,0
165,Jim Riggs,TE,1987,Clemson,7.06,3.5
166,Jim Warne,OT,1987,Arizona State,0.53,0.74
167,Joe Armentrout,FB,1987,Wisconsin,8,6.4
168,Joe Goebel,OC,1987,UCLA,0,0
169,Joe Macesker,OT,1987,Texas-El Paso,7.37,5.08
170,Joe McGrail,DT,1987,Delaware,0,0
171,Joe Onosai,OG,1987,Hawaii,0,0
172,Joel Williams,TE,1987,Notre Dame,0,0
173,Joey Clinkscales,WR,1987,Tennessee,3.95,3.24
174,John Adickes,OC,1987,Baylor,6.67,7.32
175,John Bosa,DE,1987,Boston College,10,6.4
176,John Bruno,PK,1987,Penn State,0,0
177,John Clay,OT,1987,Missouri,2.63,1.93
178,John Davis,OG,1987,Georgia Tech,0.77,0.8
179,John Gesek,OT,1987,Sacramento State,5.26,3.93
180,John Holifield,RB,1987,West Virginia,9.13,5.88
181,John Little,FS,1987,Georgia,5,2.79
182,John Paye,QB,1987,Stanford,0,0
183,John Settle,RB,1987,Appalachian State,0.43,0.1
184,Johnny Holland,LB,1987,Texas A&M,7.1,5.51
185,Johnny Thomas,CB,1987,Baylor,0,0
186,Jon Embree,TE,1987,Colorado,0,0
187,Jon Horton,WR,1987,Arizona,2.11,1.37
188,Jonathan Shelley,CB,1987,Mississippi,0,0
189,Karl Dorrell,WR,1987,UCLA,1.58,0.81
190,Karl Wilson,DE,1987,Louisiana State,5,2.8
191,Keith Mckeller,TE,1987,Jacksonville State,7.65,2.51
192,Keith Paskett,WR,1987,Western Kentucky,3.68,2.37
193,Keith Williams,DT,1987,Florida,0,0
194,Kelly Stouffer,QB,1987,Colorado State,6.15,2.59
195,Kelvin Martin,WR,1987,Boston College,2.63,2.18
196,Ken Lambiotte,QB,1987,William & Mary,0,0
197,Kenneth Flowers,RB,1987,Clemson,9.57,5.77
198,Kenny Flowers,RB,1987,Clemson,0,0
199,Kerry Porter,RB,1987,Washington State,8.7,6.3
200,Kevin Gogan,OG,1987,Washington,1.54,2.19
201,Kevin Sweeney,QB,1987,Fresno State,0,0
202,Kirby Jackson,CB,1987,Mississippi State,0,0
203,Kirk Timmer,LB,1987,Montana State,0,0
204,Kitrick Taylor,WR,1987,Washington State,6.05,4.01
205,Lakei Heimuli,RB,1987,Brigham Young,1.74,0.87
206,Lance Sellers,LB,1987,Boise State,0,0
207,Laron Brown,WR,1987,Texas,0,0
208,Larry Brewton,CB,1987,Temple,0,0
209,Larry Emery,RB,1987,Wisconsin,0,0
210,Larry Emory,RB,1987,Wisconsin,5.65,2.73
211,Larry Kelm,LB,1987,Texas A&M,5.81,3.64
212,Len Bell,CB,1987,Indiana,0,0
213,Leon Seals,DE,1987,Jackson State,1.43,0.47
214,Leonard Bell,SS,1987,Indiana,6.67,3.2
215,Leonard Jones,FS,1987,Texas Tech,3.75,1.65
216,Lonzell Hill,WR,1987,Washington,4.21,3.5
217,Loren Snyder,QB,1987,Northern Colorado,2.31,0.64
218,Lorenzo Freeman,DT,1987,Pittsburgh,0,0
219,Lou Brock,CB,1987,Southern California,0,0
220,Louis Clark,WR,1987,Mississippi State,0,0
221,Lyneal Alston,WR,1987,Southern Mississippi,2.37,1.54
222,M.L. Johnson,LB,1987,Hawaii,0,0
223,Marc Logan,RB,1987,Kentucky Wesleyan,0,0
224,Marc Munford,LB,1987,Nebraska,4.84,3.69
225,Marcus Greenwood,FB,1987,UCLA,5,5.26
226,Mario Perry,TE,1987,Mississippi,0,0
227,Mark Bellini,WR,1987,Brigham Young,0,0
228,Mark Carrier,WR,1987,Nicholls State,5.79,2.99
229,Mark Dennis,OT,1987,Illinois,5.79,3.63
230,Mark Dusbabek,LB,1987,Minnesota,0,0
231,Mark Garalczyk,DT,1987,Western Michigan,5.71,6.37
232,Mark Ingram,WR,1987,Michigan State,9.47,5.06
233,Mark Moore,FS,1987,Oklahoma State,1.25,2.02
234,Mark Mraz,DT,1987,Utah State,8.57,7.88
235,Mark Vlasic,QB,1987,Iowa,0,0
236,Maurice Williams,RB,1987,Virginia Tech,1.3,0.32
237,Merril Hoge,FB,1987,Idaho State,2,2.09
238,Michael Adams,CB,1987,Arkansas State,0,0
239,Michael Brooks,LB,1987,Louisiana State,0,0
240,Michael Clemons,TE,1987,William & Mary,5.88,2.53
241,Michael James,WR,1987,Washington State,9.21,5.75
242,Michael Reid,LB,1987,Wisconsin,0,0
243,Michael Stewart,SS,1987,Fresno State,0,0
244,Michel James,WR,1987,Washington State,0,0
245,Mike Adams,CB,1987,Arizona State,7.37,5.11
246,Mike Junkin,LB,1987,Duke,0,0
247,Mike Reid,LB,1987,Wisconsin,2.58,2.7
248,Mike Rice,PK,1987,Montana,0,0
249,Mike Shula,QB,1987,Alabama,1.54,0.17
250,Mike Simmonds,OG,1987,Indiana State,10,6.16
251,Milton Mack,CB,1987,Alcorn State,6.32,4.76
252,Najee Mustafaa,SS,1987,Georgia Tech,0,0
253,Nate Odomes,CB,1987,Wisconsin,7.89,6.27
254,Nelson Jones,FS,1987,North Carolina State,2.5,3.53
255,Norman Jefferson,CB,1987,Louisiana State,0,0
256,Odessa Turner,WR,1987,Northwestern State,10,6.42
257,Onzy Elam,LB,1987,Tennessee State,5.16,3.87
258,Patrick Scott,WR,1987,Grambling State,1.32,0.8
259,Paul Carberry,DT,1987,Oregon State,0,0
260,Paul Jokisch,WR,1987,Michigan,0,0
261,Paul Kiser,OG,1987,Wake Forest,7.69,4.5
262,Paul Migliazzo,LB,1987,Oklahoma,0,0
263,Paul O'Connor,OG,1987,Miami,2.31,1.76
264,Paul Oswald,OC,1987,Kansas,0,0
265,Paul Palmer,RB,1987,Temple,6.52,3.65
266,Perry Williams,CB,1987,Clemson,3.68,2.96
267,Phil Pettey,OG,1987,Missouri,6.15,4.8
268,Rafe Wilkinson,LB,1987,Richmond,0,0
269,Ralph Van Dyke,OT,1987,Southern Illinois,4.21,3.08
270,Randy Dixon,OG,1987,Pittsburgh,3.08,2.22
271,Randy Watts,DE,1987,Catawba,0,0
272,Ray Berry,LB,1987,Baylor,1.29,1.88
273,Ray Brown,WR,1987,South Carolina,0,0
274,Ray Hitchcock,OC,1987,Minnesota,0,0
275,Reggie Rogers,DE,1987,Washington,6.43,3.96
276,Reggie Taylor,RB,1987,Cincinnati,0,0
277,Rich Gannon,QB,1987,Delaware,9.23,7.39
278,Rick Calhoun,RB,1987,Fullerton State,0,0
279,Rick Fenney,FB,1987,Washington,7,6.11
280,Rick Graf,LB,1987,Wisconsin,10,9.45
281,Ricky Nattiel,WR,1987,Florida,8.68,4.65
282,Ricky Reynolds,CB,1987,Washington State,8.95,6.67
283,Rob Harrison,SS,1987,Sacramento State,0,0
284,Robert Awalt,TE,1987,San Diego State,6.47,3.08
285,Robert Banks,DT,1987,Notre Dame,2.86,5.85
286,Robert Clark,WR,1987,North Carolina Central,0.79,1.01
287,Rod Bernstine,RB,1987,Texas A&M,7.39,4.02
288,Rod Jones,TE,1987,Washington,1.18,1.1
289,Rod Saddler,DE,1987,Texas A&M,7.14,3.9
290,Rod Woodson,CB,1987,Purdue,10,9.65
291,Roger Vick,FB,1987,Texas A&M,9,8.68
292,Roland Barbay,DE,1987,Louisiana State,0.71,0.23
293,Roland Mitchell,CB,1987,Texas Tech,6.84,5.5
294,Ron Bohm,DT,1987,Illinois,2.14,3.44
295,Ron Brown,LB,1987,Southern California,0,0
296,Ron Francis,CB,1987,Baylor,4.74,3.68
297,Ron Hall,TE,1987,Hawaii,9.41,6.36
298,Ron Mclean,DE,1987,Cal State Fullerton,5.71,2.36
299,Ron Morris,WR,1987,Southern Methodist,4.74,2.17
300,Ron Moten,LB,1987,Florida,0,0
301,Ronnie Moten,LB,1987,Florida,7.42,4.64
302,Roy Banks,WR,1987,Eastern Illinois,6.58,3.44
303,Ruben Rodriguez,PK,1987,Arizona,0,0
304,Sammy Garza,QB,1987,Texas-El Paso,0,0
305,Scott Armstrong,LB,1987,Florida,0,0
306,Scott Cooper,DT,1987,Kearney State,0,0
307,Scott Eccles,TE,1987,Eastern New Mexico,10,8.61
308,Scott Leach,LB,1987,Ohio State,0,0
309,Scott Mersereau,DT,1987,Southern Connecticut,0,0
310,Scott Schwedes,WR,1987,Syracuse,9.74,6.43
311,Scott Stephen,LB,1987,Arizona State,0,0
312,Sean Smith,DE,1987,Grambling State,0,0
313,Shane Conlan,LB,1987,Penn State,0,0
314,Shawn Halloran,QB,1987,Boston College,3.08,0.76
315,Shawn Knight,DE,1987,Brigham Young,0,0
316,Sid Lewis,FS,1987,Penn State,0,0
317,Skip Mcclendon,DE,1987,Arizona State,4.29,1.98
318,Solomon Wilcots,CB,1987,Colorado,3.16,1.76
319,Sonny Gordon,FS,1987,Ohio State,6.25,3.17
320,Spencer Tillman,RB,1987,Oklahoma,5.22,4.06
321,Stacey Mobley,WR,1987,Jackson State,2.89,1.78
322,Stan Mataele,DT,1987,Arizona,0,0
323,Stan Parker,OG,1987,Nebraska,0,0
324,Stephen Baker,WR,1987,Fresno State,1.84,1.59
325,Stephen Braggs,CB,1987,Texas,0.53,0.82
326,Steve Alvord,DE,1987,Washington,8.57,4.85
327,Steve Bartalo,RB,1987,Colorado State,3.48,1.71
328,Steve Beuerlein,QB,1987,Notre Dame,0.77,0.4
329,Steve Bryan,DE,1987,Oklahoma,0,0
330,Steve Bullitt,LB,1987,Texas A&M,0,0
331,Steve DeLine,PK,1987,Colorado State,0,0
332,Steve Gage,SS,1987,Tulsa,0,0
333,Steve Roberts,DE,1987,Washington,0,0
334,Steve Smith,RB,1987,Penn State,0,0
335,Steve Trapilo,OG,1987,Boston College,8.46,4.97
336,Ted Wilson,WR,1987,Central Florida,0,0
337,Terence Mack,LB,1987,Clemson,0,0
338,Terence Mann,DT,1987,Southern Methodist,0,0
339,Terrence Anthony,FS,1987,Iowa State,0,0
340,Terrence Flagler,RB,1987,Clemson,7.83,4.78
341,Theo Young,TE,1987,Arkansas,5.29,1.9
342,Thomas Everett,FS,1987,Baylor,7.5,3.79
343,Thomas Henley,WR,1987,Stanford,4.47,3.43
344,Thomas Mchale,DE,1987,Cornell,2.14,1.23
345,Thomas Wilcher,RB,1987,Michigan,0,0
346,Tim Jessie,RB,1987,Auburn,0,0
347,Tim Johnson,DT,1987,Penn State,3.57,4.01
348,Tim Jordan,LB,1987,Wisconsin,9.03,7.27
349,Tim Manoa,FB,1987,Penn State,4,3.64
350,Tim Mcdonald,SS,1987,Southern California,8.33,4.33
351,Tim Peoples,FS,1987,Washington,8.75,3.73
352,Tim Pidgeon,LB,1987,Syracuse,8.39,5.69
353,Tim Richardson,RB,1987,Pacific,0,0
354,Timmy Smith,RB,1987,Texas Tech,0,0
355,Toby Caston,LB,1987,Louisiana State,3.23,3.23
356,Todd Howard,LB,1987,Texas A&M,2.9,2.97
357,Todd Peat,OG,1987,Northern Illinois,3.85,2.38
358,Toi Cook,CB,1987,Stanford,1.58,2.02
359,Tom Brown,RB,1987,Pittsburgh,3.91,3.28
360,Tom Gibson,DE,1987,Northern Arizona,0,0
361,Tom Welter,OT,1987,Nebraska,1.05,1.09
362,Tommie Agee,RB,1987,Auburn,0,0
363,Tommy Agee,FB,1987,Auburn,0,0
364,Tommy Neal,RB,1987,Maryland,0,0
365,Tommy Powell,SS,1987,Auburn,0,0
366,Tony Burse,RB,1987,Middle Tennessee State,3.04,2.25
367,Tony Elliott,SS,1987,Central Michigan,1.67,0.38
368,Tony Leiker,DT,1987,Stanford,0,0
369,Tony Mayes,SS,1987,Kentucky,0,0
370,Tony Woods,DE,1987,Pittsburgh,7.86,3.84
371,Tracy Ham,RB,1987,Georgia Southern,0.87,0.35
372,Tracy Martin,WR,1987,North Dakota,0,0
373,Troy Stradford,RB,1987,Boston College,4.35,1.41
374,Tyrone Braxton,FS,1987,North Dakota State,0,0
375,Tyrone Sorrells,OG,1987,Georgia Tech,9.23,7.25
376,Victor Perry,OT,1987,Georgia,6.32,4.02
377,Victor Simmons,LB,1987,Central State,1.61,2.72
378,Vinny Testaverde,QB,1987,Miami,10,8
379,Wally Kleine,DE,1987,Notre Dame,2.86,1.27
380,Walter Johnson,DT,1987,Pittsburgh,5,5.09
381,Walter Johnson,LB,1987,Louisiana Tech,9.35,7.03
382,Warren Marshall,FB,1987,James Madison,3,2.92
383,Wayne Davis,LB,1987,Alabama,0,0
384,Wayne Haddix,CB,1987,Liberty,5.79,4.65
385,Wes Dove,DE,1987,Syracuse,0,0
386,Wes Neighbors,OC,1987,Alabama,0,0
387,Wilbur Strozier,OG,1987,Georgia,0,0
388,Will Johnson,DE,1987,Louisiana Monroe,0,0
389,William Harris,TE,1987,Bishops,8.24,3.7
390,Willie Marshall,WR,1987,Temple,8.16,4.43
391,Winston Moss,LB,1987,Miami,5.48,3.8
392,John Carney,PK,1987,Notre Dame,0,0
393,Jessie Tuggle,LB,1987,Valdosta State,0,0
394,Aaron Cox,WR,1988,Arizona State,4.63,2.59
395,Aaron Jones,DE,1988,Eastern Kentucky,0,0
396,Aatron Kenney,WR,1988,Wisconsin-Stevens Point,0,0
397,Al Huge,DT,1988,Hillsdale,2.76,2.91
398,Al Noga,DT,1988,Hawaii,8.97,8.82
399,Alan Hooker,RB,1988,North Carolina A&T,5.69,3.91
400,Albert Goss,DT,1988,Jackson State,0,0
401,Alex Higdon,TE,1988,Ohio State,9.38,6.53
402,Alfred Dorsey,WR,1988,Nicholls State,0.13,0.22
403,Alfredo Roberts,TE,1988,Miami,4.69,2.02
404,Andre Lloyd,LB,1988,Jackson State,2.22,2.12
405,Andre Lockley,OT,1988,Tulane,2.8,1.66
406,Andy Schillinger,WR,1988,Miami,5.5,3.2
407,Anthony Blaylock,CB,1988,Winston-Salem,0,0
408,Anthony Miller,WR,1988,Tennessee,7.25,4.27
409,Anthony Newman,SS,1988,Oregon,10,9.61
410,Anthony Simpson,RB,1988,East Carolina,0,0
411,Artis Jackson,DT,1988,Texas Tech,2.07,1.46
412,Aundray Bruce,LB,1988,Auburn,0,0
413,Azizuddin Abdur-Raoof,WR,1988,Maryland,9.75,6.65
414,Barry Helton,PK,1988,Colorado,0,0
415,Ben Hummel,LB,1988,UCLA,0,0
416,Bennie Blades,SS,1988,Miami,9.52,7.24
417,Bernard Ford,WR,1988,Central Florida,8.13,4.66
418,Bill Condon,OG,1988,Alabama,2.19,4.62
419,Bill Romanowski,LB,1988,Boston College,8.25,5.33
420,Billy Owens,FS,1988,Pittsburgh,7.65,3.5
421,Blake Peterson,LB,1988,Mesa State,0,0
422,Bo Wright,FB,1988,Alabama,8,5.61
423,Bob Sims,OG,1988,Florida,6.88,6.62
424,Bobby Dawson,DB,1988,Illinois,0,0
425,Brad Beckman,TE,1988,Nebraska-Omaha,7.81,4.4
426,Brad Edwards,FS,1988,South Carolina,9.41,4.41
427,Brad Muster,FB,1988,Stanford,9.33,8.52
428,Brandy Wells,CB,1988,Notre Dame,5.23,3.03
429,Brendan McCormack,DT,1988,South Carolina,0,0
430,Brett Perriman,WR,1988,Miami,9.88,7.64
431,Brian Bedford,WR,1988,California,8.63,5.15
432,Brian Blades,WR,1988,Miami,7.63,5.28
433,Brian Bonner,LB,1988,Minnesota,0,0
434,Brian Forde,LB,1988,Washington State,7.3,5.7
435,Brian Habib,OG,1988,Washington,10,9.3
436,Brian Kinchen,TE,1988,Louisiana State,2.19,2.04
437,Brian Washington,DB,1988,Nebraska,0,0
438,Bud Keyes,QB,1988,Wisconsin,0,0
439,Caesar Rentie,OG,1988,Oklahoma,6.56,5.52
440,Carl Mims,DB,1988,Sam Houston State,0,0
441,Carl Painter,RB,1988,Hampton,0,0
442,Carl Parker,WR,1988,Vanderbilt,0,0
443,Carlton Bailey,LB,1988,North Carolina,0,0
444,Carter Wiley,DB,1988,Virginia Tech,0,0
445,Cassius Osborn,WR,1988,Georgia,2.25,0.9
446,Cedric Figaro,LB,1988,Notre Dame,0,0
447,Chad Hennings,DT,1988,Air Force,0,0
448,Channing Williams,FB,1988,Arizona State,4,2.49
449,Charles Dimry,CB,1988,UNLV,0,0
450,Charles Webb,FB,1988,Arizona,2,2.13
451,Chet Brooks,FS,1988,Texas A&M,0,0
452,Chip Lohmiller,PK,1988,Minnesota,0,0
453,Chris Carrier,DB,1988,Louisiana State,0,0
454,Chris Chandler,QB,1988,Washington,6.8,4.01
455,Chris Gaines,LB,1988,Vanderbilt,2.86,2.25
456,Chris Spielman,LB,1988,Ohio State,3.17,2.82
457,Chris Verhulst,TE,1988,Cal State Chico,8.44,7.1
458,Chuck Cecil,FS,1988,Arizona,0,0
459,Chuck Lanza,OC,1988,Notre Dame,10,8.72
460,Clarence Nunn,CB,1988,San Diego State,2.73,1.38
461,Clay Whitehurst,WR,1988,Alabama,1.63,1.19
462,Clifford Charlton,LB,1988,Florida,0,0
463,Corris Ervin,CB,1988,Central Florida,0,0
464,Craig Heyward,FB,1988,Pittsburgh,0,0
465,Craig Kantner,OT,1988,Ball State,5.2,3.56
466,Cris Dishman,CB,1988,Purdue,6.14,3.19
467,Curt Koch,DE,1988,Colorado,0,0
468,Curtis Chappell,WR,1988,Howard,3.63,2.36
469,Curtis Maxey,DT,1988,Grambling State,0,0
470,Dan Henning,QB,1988,Maryland,0.4,0.02
471,Dan Mccoin,QB,1988,Cincinnati,2,0.23
472,Dan Murray,LB,1988,East Stroudsburg,0,0
473,Danny Copeland,SS,1988,Eastern Kentucky,9.05,6.62
474,Danny McCoin,QB,1988,Cincinnati,0,0
475,Danny Mcmanus,QB,1988,Florida State,3.2,1.27
476,Danny Smith,WR,1988,South Carolina,4.13,2.05
477,Danny Stubbs,DE,1988,Miami,3.13,1.9
478,Danta Whitaker,TE,1988,Mississippi Valley State,0,0
479,Dante Jones,LB,1988,Oklahoma,0,0
480,Darin Jordan,LB,1988,Northeastern,0,0
481,Darrel Fullington,FS,1988,Miami,8.82,3.51
482,Darrell Fullington,FS,1988,Miami,0,0
483,Darrell Reed,LB,1988,Oklahoma,1.11,1.07
484,Darryl Franklin,WR,1988,Washington,0.88,0.37
485,Darryl Harris,WR,1988,Arizona State,3,0.84
486,Darryl Mcgill,RB,1988,Wake Forest,6.27,3.87
487,Darryl Pearson,WR,1988,Alabama State,0.38,0.37
488,Darryl Usher,WR,1988,Illinois,6.75,4.07
489,Daryl Parham,OT,1988,North Carolina,8.8,8.11
490,Dave Cadigan,OG,1988,Southern California,0,0
491,Dave Des Rochers,OT,1988,San Diego State,0,0
492,Dave Desrochers,OT,1988,San Diego State,0.4,0.53
493,Dave Nugent,DT,1988,Boston College,5.86,5.58
