Id,Player,Position,Year,School,RAS Score,All Time Score
12911,Jonathan Woodard,DE,2016,Central Arkansas,8.87,8.98
12912,Jordan Canzeri,RB,2016,Iowa,5.89,6.37
12913,Jordan Howard,RB,2016,Indiana,5.41,6.33
12914,Jordan Jenkins,LB,2016,Georgia,7.38,7.72
12915,Jordan Lomax,SS,2016,Iowa,1.01,2.4
12916,Jordan Lucas,SS,2016,Penn State,9.4,9.64
12917,Jordan Payton,WR,2016,UCLA,6.85,7.6
12918,Jordan Rigsbee,OG,2016,California,1.98,2.92
12919,Jordan Sefon,CB,2016,Saint Cloud State,3.9,4.71
12920,Jordan Swindle,OT,2016,Kentucky,3.75,3.86
12921,Jordan Williams,WR,2016,Ball State,4.88,5.63
12922,Joseph Cheek,OG,2016,Texas A&M,1.22,2
12923,Josh Aubrey,CB,2016,Stephen F. Austin,9.41,9.51
12924,Josh Dawson,DE,2016,Georgia,5.06,5.85
12925,Josh Doctson,WR,2016,Texas Christian,9.41,9.56
12926,Josh Ferguson,RB,2016,Illinois,7.9,8.19
12927,Josh Forrest,LB,2016,Kentucky,3.37,3.91
12928,Josh Hawkins,CB,2016,East Carolina,8.65,8.82
12929,Josh Perkins,TE,2016,Washington,6.47,6.6
12930,Josh Woodman,FS,2016,Western,0.23,1.1
12931,Josh Woodrum,QB,2016,Liberty,8.72,8.76
12932,Joshua Garnett,OG,2016,Stanford,7.65,8.1
12933,Joshua Perkins,TE,2016,Washington,6.47,6.6
12934,Joshua Perry,LB,2016,Ohio State,8.34,8.63
12935,Joshua Stanford,WR,2016,Kansas,1.11,1.28
12936,Josiah St. John,OT,2016,Oklahoma,0,0
12937,JP Holtz,TE,2016,Pittsburgh,5.35,5.55
12938,Julian Whigham,CB,2016,Syracuse,4.76,5.55
12939,Julien Obioha,DT,2016,Texas A&M,3.96,5.09
12940,Justin Murray,OT,2016,Cincinnati,7.42,7.3
12941,Justin Simmons,FS,2016,Boston College,9.38,9.27
12942,Justin Zimmer,DT,2016,Ferris State,9.97,9.96
12943,Juston Burris,CB,2016,North Carolina State,7.16,7.66
12944,K.J. Brent,WR,2016,Wake Forest,5.77,6.55
12945,K.J. Dillon,SS,2016,West Virginia,3.58,5.06
12946,Kadeem Adams,OG,2016,Western,0,0
12947,Kaiwan Lewis,LB,2016,Rutgers,1.2,2.04
12948,Kalan Reed,CB,2016,Southern Mississippi,7.7,8.1
12949,Kalif Raymond,WR,2016,Holy Cross,8.17,8.15
12950,Kamalei Correa,DE,2016,Boise State,7.13,7.26
12951,Kamu Grugier-Hill,SS,2016,Eastern Illinois,9.69,9.9
12952,Karl Joseph,SS,2016,West Virginia,0,0
12953,Kavon Frazier,FS,2016,Central Michigan,7.81,8.29
12954,Keanu Neal,FS,2016,Florida,6.11,7.16
12955,Keenan Reynolds,RB,2016,Navy,4.55,5.1
12956,Keith Baxter,CB,2016,Marshall,8.17,8.5
12957,Keith Lumpkin,OT,2016,Rutgers,8,7.97
12958,Keith Marshall,RB,2016,Georgia,9.35,9.62
12959,Keivarae Russell,CB,2016,Notre Dame,8.83,9.01
12960,Kelby Johnson,OT,2016,Louisville,0.59,0.72
12961,Kelsey Young,RB,2016,Boise State,4.79,5.67
12962,Kelvin Taylor,RB,2016,Florida,2.66,3.21
12963,Ken Crawley,CB,2016,Colorado,6.85,7.39
12964,Kendall Fuller,CB,2016,Virginia Tech,0,0
12965,Kenneth Dixon,RB,2016,Louisiana Tech,6.86,7.63
12966,Kenneth Durden,CB,2016,Youngstown State,8.86,9.18
12967,Kenneth Farrow,RB,2016,Houston,7.8,8.25
12968,Kenny Clark,DT,2016,UCLA,7.54,8.02
12969,Kenny Lawler,WR,2016,California,2.08,2.76
12970,Kenton Adeyemi,DT,2016,Connecticut,9.08,9.33
12971,Kentrell Brice,SS,2016,Louisiana Tech,7.72,8.21
12972,Kentrell Brothers,LB,2016,Missouri,2.94,3.69
12973,Kenya Dennis,CB,2016,Missouri,5.74,6.44
12974,Kenyan Drake,RB,2016,Alabama,6.98,7.46
12975,Kevin Bowen,OT,2016,East Central,2.69,2.7
12976,Kevin Byard,SS,2016,Middle Tennessee State,7.91,8.66
12977,Kevin Dodd,DE,2016,Clemson,5.59,6.13
12978,Kevin Hogan,QB,2016,Stanford,8.55,8.66
12979,Kevin Jackson,LB,2016,Sam Houston State,2.4,3.09
12980,Kevin Peterson,CB,2016,Oklahoma State,3.03,3.99
12981,Kevon Seymour,CB,2016,Southern California,8.12,8.49
12982,Keyarris Garrett,WR,2016,Tulsa,6,6.84
12983,Kieran Duncan,WR,2016,Colorado State Pueblo,5.24,5.93
12984,Kivon Cartwright,TE,2016,Colorado State,4.13,4.08
12985,KJ Maye,WR,2016,Minnesota,0.92,1.49
12986,Kolby Listenbee,WR,2016,Texas Christian,7.92,8.22
12987,Kris Frost,LB,2016,Auburn,1.25,2.11
12988,Kyle Carter,TE,2016,Penn State,7.21,7.47
12989,Kyle Friend,OC,2016,Temple,7.85,8.08
12990,Kyle Kragen,DE,2016,California,6.48,6.81
12991,Kyle Murphy,OT,2016,Stanford,0,0
12992,Kyle Peko,DT,2016,Oregon State,7.69,8.16
12993,Kyle Rose,DT,2016,West Virginia,3.62,4.74
12994,Kyler Fackrell,LB,2016,Utah State,7.03,7.45
12995,Kyrie Wilson,LB,2016,Fresno State,8.15,8.67
12996,Lac Edwards,PK,2016,Sam Houston State,0,0
12997,Lafayette Pitts,SS,2016,Pittsburgh,4.93,6.24
12998,Lamar Louis,LB,2016,Louisiana State,5.18,5.87
12999,Lamarcus Brutus,FS,2016,Florida State,0.81,1.96
13000,Landon Turner,OG,2016,North Carolina,1.16,1.88
13001,LaQuan McGowan,TE,2016,Baylor,1.24,1.33
13002,Laquon Treadwell,WR,2016,Mississippi,3.34,4.32
13003,Laremy Tunsil,OT,2016,Mississippi,0,0
13004,LaRon Byrd,WR,2016,Miami,9.42,9.56
13005,Larry Mazyck,OT,2016,Kansas,1.84,1.96
13006,Larry Scott,CB,2016,Oregon State,3.88,4.84
13007,Lars Hanson,OT,2016,Sacramento State,4.67,4.81
13008,Lawrence Thomas,DE,2016,Michigan State,4.06,4.83
13009,Lawrence White,TE,2016,Texas State,3.53,3.59
13010,Lee Hightower,FS,2016,Houston,6.84,7.72
13011,Lenny Jones,DE,2016,Nevada,4.92,5.75
13012,Leonard Floyd,LB,2016,Georgia,9.81,9.83
13013,Leonard Wester,OT,2016,Missouri Western,6.05,6.07
13014,Leonte Carroo,WR,2016,Rutgers,6.97,7.41
13015,Le'Raven Clark,OT,2016,Texas Tech,8.07,7.89
13016,Leshaun Sims,CB,2016,Southern Utah,5.13,5.96
13017,Liam Nadler,QB,2016,Gannon,7.54,7.71
13018,Llevi Noel,WR,2016,Windsor AKO,4.68,5.49
13019,Lloyd Carrington,CB,2016,Arizona State,3.33,4.23
13020,Louis Palmer,DE,2016,Central Michigan,1.17,1.87
13021,Lucas Patrick,OG,2016,Duke,9.3,9.43
13022,Luke Hayes,OG,2016,Kansas State,4.66,5.62
13023,Luke Rhodes,LB,2016,William & Mary,7.49,8.03
13024,Luther Maddy,DT,2016,Virginia Tech,0,0
13025,MacKensie Alexander,CB,2016,Clemson,5.27,6.02
13026,Maiko Zepeda,CB,2016,Montreal,3.46,4.3
13027,Makinton Dorleant,CB,2016,Northern Iowa,7.01,7.43
13028,Malcolm Brown,FS,2016,Western,0.44,1.18
13029,Malcolm Mitchell,WR,2016,Georgia,8.08,8.78
13030,Maliek Collins,DT,2016,Nebraska,7.78,8.25
13031,Manoa Pikula,LB,2016,Brigham Young,8.55,8.96
13032,Marc-Antoine Laurin,LB,2016,Ottawa,2.6,3.47
13033,Marcus Leak,WR,2016,Maryland,9.34,9.36
13034,Marcus Tucker,WR,2016,Northern Michigan,3.42,4.45
13035,Marken Michel,WR,2016,Massachusetts,5.87,6.76
13036,Marlon Moore,SS,2016,Northern Illinois,0.34,1.35
13037,Marquez North,WR,2016,Tennessee,8.97,9.24
13038,Marqui Christian,SS,2016,Midwestern State,6.2,7.36
13039,Marquis Lucas,OG,2016,West Virginia,2.96,4
13040,Marquise Williams,QB,2016,North Carolina,6.53,6.79
13041,Marshaun Coprich,RB,2016,Illinois State,3.97,4.5
13042,Marteze Waller,RB,2016,Fresno State,3,3.64
13043,Marvin Hall,WR,2016,Washington,8.78,9.15
13044,Marwin Evans,SS,2016,Utah State,7.96,8.79
13045,Matt Ioannidis,DT,2016,Temple,7.01,7.62
13046,Matt Judon,DE,2016,Grand Valley State,6.98,7.31
13047,Matt Moore,QB,2016,Oregon State,2.09,2.15
13048,Matt Skura,OC,2016,Duke,3.66,4.15
13049,Matt Weiser,TE,2016,Buffalo,4.83,5.2
13050,Matthias Farley,SS,2016,Notre Dame,5.84,7.23
13051,Maurice Canady,CB,2016,Virginia,8.13,8.54
13052,Maurice Harris,WR,2016,California,0,0
13053,Max McCaffrey,WR,2016,Duke,7.71,8.2
13054,Max Tuerk,OC,2016,Southern California,0,0
13055,Max Wittek,QB,2016,Hawaii,5.52,5.46
13056,Mehdi Abdesmad,DT,2016,Boston College,7.58,8
13057,Mekale McKay,WR,2016,Cincinnati,4.49,5.2
13058,Mercer Timmis,RB,2016,Calgary,1.99,2.41
13059,Micah Awe,LB,2016,Texas Tech,6.61,6.92
13060,Michael Bloomfield,LB,2016,Winston-Salem,5.87,6.48
13061,Michael Cooper,TE,2016,Indiana,2.7,2.97
13062,Michael Couture,OT,2016,Simon Fraser,3.73,3.67
13063,Michael Hunter,CB,2016,Oklahoma State,6.99,7.47
13064,Michael Jordan,FS,2016,Missouri Western,5.58,6.6
13065,Michael Kashak,DE,2016,Western,1.43,2.07
13066,Michael Miller,TE,2016,Taylor,5.36,5.67
13067,Michael Pierce,DT,2016,Samford,8.45,8.65
13068,Michael Thomas,WR,2016,Ohio State,9.12,9.34
13069,Michael Wakefield,DE,2016,Florida International,2.45,3.21
13070,Mikael Charland,SS,2016,Concordia,4.18,5.44
13071,Mike Bercovici,QB,2016,Arizona State,4.95,4.78
13072,Mike Hilton,CB,2016,Mississippi,2.38,3.3
13073,Mike Jones,WR,2016,Southern,1.36,1.86
13074,Mike Matthews,OC,2016,Texas A&M,0.61,1.07
13075,Mike McQueen,OT,2016,Ohio,3.28,3.18
13076,Mike Rose,DE,2016,North Carolina State,5.82,6.44
13077,Mike Thomas,WR,2016,Southern Mississippi,7.66,8.41
13078,Mikell Everette,CB,2016,Sam Houston State,0.89,1.42
13079,Miles Killebrew,SS,2016,Southern Utah,8.2,8.96
13080,Miles Shuler,WR,2016,Northwestern,7.83,8.16
13081,Mitch Mathews,WR,2016,Brigham Young,8.9,9.35
13082,Montese Overton,LB,2016,East Carolina,6.48,7.13
13083,Morgan Burns,CB,2016,Kansas State,8.49,8.62
13084,Morgan Fox,DE,2016,Colorado State Pueblo,6.11,6.93
13085,Moritz Boehringer,WR,2016,International,9.98,9.99
13086,Mose Frazier,WR,2016,Memphis,5.38,6.01
13087,Myke Tavarres,LB,2016,Incarnate Word,4.35,5.32
13088,Myles Jack,LB,2016,UCLA,0,0
13089,Nate Sudfeld,QB,2016,Indiana,3.27,3.12
13090,Nathan O?Halloran,RB,2016,Windsor,1.12,1.52
13091,Nelson Spruce,WR,2016,Colorado,2.94,3.79
13092,Nicholas Grigsby,LB,2016,Pittsburgh,8.67,8.96
13093,Nicholas Termansen,FS,2016,British Columbia,4.86,5.51
13094,Nick Arbuckle,QB,2016,Georgia State,1.28,1.16
13095,Nick Kwiatkoski,LB,2016,West Virginia,7.28,7.77
13096,Nick Martin,OC,2016,Notre Dame,6.95,7.08
13097,Nick Richter,OT,2016,Richmond,6.47,6.41
13098,Nick Vannett,TE,2016,Ohio State,5.68,5.94
13099,Nick Vigil,LB,2016,Utah State,7.41,7.67
13100,Nila Kasitati,OG,2016,Oklahoma,4.3,5.12
13101,Nile Lawrence-Stample,DT,2016,Florida State,3.17,4.33
13102,Noah Spence,DE,2016,Eastern Kentucky,8.2,8.46
13103,Norman Price,OT,2016,Southern Mississippi,7,6.82
13104,Oni Omoile,OG,2016,Iowa State,9.22,9.26
13105,P.J. Dawson,LB,2016,Texas Christian,1.33,2.27
13106,Pace Murphy,OT,2016,Northwestern State,9.19,9.13
13107,Parker Ehinger,OG,2016,Cincinnati,7.6,7.88
13108,Patrick Onwuasor,CB,2016,Portland State,4.73,5.06
