Year,Fantasy_Points,PassingYards,PassingTDs,Ints,RushAttempts,RushYards,Fumbles,RushTDs,PassingSkill,RunningSkill
2023-01-01,402,4516,36,9,55,242,2,2,MVP Passer,RegularQB
2019-01-01,263,3027,24,12,45,279,11,2,Not Very Good,RegularQB
2020-01-01,198,2943,11,10,65,423,6,1,Game Manager,Dual Threat
2021-01-01,178,2428,10,7,62,298,3,2,Backup,RegularQB
2022-01-01,308,3205,15,5,120,708,3,7,Game Manager,Dual Threat
2023-01-01,56,909,2,6,40,206,1,1,Backup,RegularQB
2019-01-01,59,984,4,6,8,31,0,0,Backup,RegularQB
2020-01-01,0,49,0,1,1,18,0,0,Backup,RegularQB
2021-01-01,0,0,0,0,1,6,0,0,Backup,RegularQB
2022-01-01,22,402,2,2,4,5,1,0,Backup,RegularQB
2021-01-01,182,2664,16,10,18,44,1,0,Did not play many games,RegularQB
2022-01-01,208,3118,17,15,32,108,3,2,Not Very Good,RegularQB
2023-01-01,19,173,2,0,2,9,0,0,Backup,RegularQB
2021-01-01,0,0,0,0,2,-3,0,0,Backup,RegularQB
2022-01-01,22,168,1,0,6,41,0,1,Backup,RegularQB
2019-01-01,276,4054,21,8,27,82,3,2,Solid,RegularQB
2020-01-01,324,4103,27,9,39,140,8,3,Really Good,RegularQB
2021-01-01,294,4804,23,14,40,108,5,0,High Volume,RegularQB
2022-01-01,258,3522,24,14,24,102,0,0,Not Very Good,RegularQB
2023-01-01,286,3878,25,8,32,40,3,0,Really Good,RegularQB
2019-01-01,364,3852,26,12,82,413,3,7,Solid,Dual Threat
2020-01-01,421,4823,33,7,90,444,3,3,MVP Passer,Dual Threat
2022-01-01,96,1102,7,5,36,175,0,1,Backup,RegularQB
2023-01-01,98,1115,7,4,26,142,2,1,Backup,RegularQB
2022-01-01,38,708,2,0,16,64,2,0,Backup,RegularQB
2023-01-01,197,2836,12,12,53,193,7,5,Not Very Good,RedZone Threat
2019-01-01,57,1063,5,8,21,68,1,0,Backup,RegularQB
2023-01-01,21,440,1,4,14,65,0,0,Backup,RegularQB
2019-01-01,274,2979,27,4,9,-4,0,1,Game Manager,RegularQB
2020-01-01,255,2942,24,6,18,-2,2,2,Game Manager,RegularQB
2019-01-01,79,1020,7,3,18,72,1,0,Backup,RegularQB
2020-01-01,204,2933,16,15,44,160,3,3,Not Very Good,RegularQB
2021-01-01,54,787,2,2,10,53,1,2,Backup,RegularQB
2023-01-01,33,543,3,3,5,14,0,0,Backup,RegularQB
2019-01-01,85,1365,7,7,20,101,2,0,Backup,RegularQB
2020-01-01,76,1439,5,7,20,46,3,1,Backup,RegularQB
2020-01-01,0,4,0,0,1,-2,0,0,Backup,RegularQB
2023-01-01,74,1129,3,1,27,144,4,1,Backup,RegularQB
2019-01-01,66,1042,6,5,4,7,1,0,Backup,RegularQB
2019-01-01,265,3271,21,6,67,344,7,0,Game Manager,RegularQB
2020-01-01,188,2259,16,5,29,153,4,1,Did not play many games,RegularQB
2021-01-01,40,439,4,1,9,21,0,0,Backup,RegularQB
2022-01-01,41,663,3,3,7,3,1,1,Backup,RegularQB
2023-01-01,220,3305,15,9,34,100,5,3,Game Manager,RegularQB
2019-01-01,0,0,0,0,3,-3,0,0,Backup,RegularQB
2020-01-01,15,243,1,1,3,28,0,0,Backup,RegularQB
2021-01-01,7,194,0,0,0,0,0,0,Backup,RegularQB
2020-01-01,1,33,0,0,2,-2,0,0,Backup,RegularQB
2021-01-01,62,702,5,1,9,42,1,1,Backup,RegularQB
